image_id,question,answer
61a7pntkO+L,What letter is displayed on the phone case?,B
61a7pntkO+L,What is the main color of the phone case?,Blue
61a7pntkO+L,Is this a hard or soft case?,Hard
81dgpWxyVcL,What kind of pattern does the phone case have?,Lines
81dgpWxyVcL,What is the material of the phone case?,Hard
61pvq3BSEEL,What color are the larger stones?,Red
61pvq3BSEEL,How many red stones can you see?,Six
61pvq3BSEEL,What type of jewelry is this?,Ring
61HMMYrUevL,What is the color of the auger?,Black
61HMMYrUevL,What kind of tool is this?,Auger
81d52ExMRNL,What phrase is written on the phone case?,Daddy's Girl
81d52ExMRNL,What is the background color of the phone case?,Pink
81d52ExMRNL,What pattern is on the phone case?,Chevron
51D7xMxvdWL,What color is the BISS?,White
51D7xMxvdWL,Is the timer on or off?,Off
61oJsgEJ53L,What shape surrounds the letter?,Heart
61oJsgEJ53L,What is the predominant color of the heart?,Yellow
61oJsgEJ53L,What letter is displayed?,G
71dBkYXqiTL,What is the main color of the phone case?,Black
71dBkYXqiTL,Is the phone case hard or soft?,Hard
71dBkYXqiTL,What phone model is this case designed for?,Samsung
816qdpPbPnL,What is the color of these flats?,Brown
816qdpPbPnL,What kind of toe do these shoes have?,Round
816qdpPbPnL,Is there a bow on the shoe?,Yes
91AIzQ1-f5L,What color are the legs?,Black
91AIzQ1-f5L,How many buttons are visible on the headboard?,Twelve
91AIzQ1-f5L,What is the main color of the headboard?,Beige
61wJ-mznqTL,What color is the beanie?,Navy
61wJ-mznqTL,Is the inside of the hat lined?,Yes
61wJ-mznqTL,What type of hat is this?,Beanie
916B5JgdShL,What is the primary color?,Cream
916B5JgdShL,What kind of fabric is this?,Woven
71rs062PzsL,What dessert is pictured on the phone case?,Macarons
71rs062PzsL,Is the back cover hard or soft?,Hard
61LippLT1KS,What is the primary color of the frame?,Brown
61LippLT1KS,How many shelves are inside?,Three
81jZydbkiML,What color is the lid?,Black
81jZydbkiML,What kind of spice is this?,Cloves
71ZjAf1AoSL,What is the primary material of the shoe?,Leather
71ZjAf1AoSL,What style of shoe is displayed?,Brogue
71ZjAf1AoSL,Is the shoe tied with laces?,Yes
71MeLhkmkwL,What celestial body is featured on the phone case?,Moon
71MeLhkmkwL,What is the primary color of the phone case?,Blue
61mhDjtG83L,What animal is featured on the phone case?,Kitty
61mhDjtG83L,What is the background color of the phone case?,Pink
816JszHVbuL,What is the primary color of the phone case?,Blue
816JszHVbuL,What is the pattern on the phone case?,Drops
711q9rQxfTL,What is the main color of the phone case?,White
711q9rQxfTL,What phrase is printed on the case?,Papa's
711q9rQxfTL,Is the phone case designed for a Samsung phone?,No
71yghvxdkJL,What is the primary color of the shoes?,Burgundy
71yghvxdkJL,What type of closure is used on these shoes?,Lace-up
71yghvxdkJL,What kind of shoes are these?,Derby
61n5j80JSxL,What is the main color of the phone case?,Purple
61n5j80JSxL,What kind of pattern is on the back of the phone case?,Floral
71l9wMhLetL,What style of shoe is this?,Brogue
71l9wMhLetL,What is the color of the brogue?,Brown
81AioM2VDyL,What color is the ink cartridge on the right?,Blue
81AioM2VDyL,How many ink cartridges are visible?,Two
81FdpjcHogL,What shape is at the center of the phone case?,Heart
81FdpjcHogL,What is the main color of the uppermost stripe?,Pink
81FdpjcHogL,Is the case designed for a Vivo phone?,Yes
71DyzxpGvUL,What phrase is spelled out on the phone case?,Magic
71DyzxpGvUL,What type of phone is this case designed for?,Vivo
71DyzxpGvUL,What is the main color of the background?,White
61G0ButFskL,What hardware is displayed?,Handle
61G0ButFskL,How many screws are visible?,Four
61Hk+gg1lUL,What kind of shoe is displayed?,oxford
61Hk+gg1lUL,What is the shoe's primary color?,black
7165NcoU2nL,What color are the hangers?,White
7165NcoU2nL,Are the hangers stacked?,Yes
7165NcoU2nL,What is the material of the hangers?,Plastic
61DgC-zcaiL,What is the main color of the dress on the case?,Red
61DgC-zcaiL,Is the case slim or bulky?,Slim
61puqk-y-EL,What letter is printed on the back?,S
61puqk-y-EL,What is the primary color of the case?,Blue
81xRyUvb36L,What is the primary material of this phone case?,Leather
81xRyUvb36L,Is the camera lens covered by the case?,No
81xRyUvb36L,What type of phone is this case designed for?,Vivo
81Fpec4E0zL,What material are the wrenches made of?,Steel
81Fpec4E0zL,How many sets are included?,Two
81XcWR2KHQL,What animal is featured on the phone case?,Tiger
81XcWR2KHQL,Is the phone case hard or soft?,Hard
612hd-DXzQL,What is the primary color of the ring?,Silver
612hd-DXzQL,How many prongs are holding the stone?,Six
612hd-DXzQL,What kind of jewelry is pictured?,Ring
61c+rc2aYYL,What color are these rain boots?,Pink
61c+rc2aYYL,Are these boots easy to put on?,Yes
71cJ42hZBjL,What fruit is featured prominently?,Berries
71cJ42hZBjL,What type of case is this?,Hard
91V1CTrSm+L,What two colors are visible?,Black/White
91V1CTrSm+L,What shape is the mat?,Rectangle
71mZIew+KmL,What pattern is featured on the upper part of the shoe?,Snake
71mZIew+KmL,What type of sandal is shown?,Espadrilles
81QVM3t6hBL,What is the primary material of the shoe's upper?,Mesh
81QVM3t6hBL,What kind of closure does this shoe have?,Slip-on
81QVM3t6hBL,What two colors are visible?,Red/Grey
A1uN7q0TUYL,How many panels make up this artwork?,Nine
A1uN7q0TUYL,What is the dominant color in the top row?,Pink
81fbeys9ZhL,What color is the hat?,Black
81fbeys9ZhL,Is this a winter accessory?,Yes
81gkiUEygnL,What instrument is featured on the case?,Guitar
81gkiUEygnL,What is the background color of the case?,Black
81gkiUEygnL,Is the design 2D or 3D?,3D
71TwBblHdxL,How many bulbs are in the pack?,Six
71TwBblHdxL,What is the main color of these bulbs?,White
71TwBblHdxL,Are these bulbs dimmable?,Yes
61FywY++-9L,How many stones are set on the ring?,Five
61FywY++-9L,What is the band color?,Platinum
81SUA6XJazL,What is the primary material of the shoe?,Leather
81SUA6XJazL,What is the color of the boat shoe?,Black
810EKzAhuVL,How many spray bottles are included in the kit?,Two
810EKzAhuVL,What color are the spray triggers?,Red
810EKzAhuVL,"Besides the bottles, what else is included?",Refills
81hlcJb0sSL,What is the dominant color of the phone case?,Orange
81hlcJb0sSL,Is this a hard or soft case?,Hard
81hlcJb0sSL,Is this phone case designed for a Samsung phone?,No
81cChBNlM8L,What is the main design element?,Wheel
81cChBNlM8L,Is the cover textured?,Yes
71DZNhvwKGL,What is the main pattern on the phone case?,Leaves
71DZNhvwKGL,Is the back cover hard or soft?,Hard
71DZNhvwKGL,What phone is this case designed for?,Motorola
71pFyp1I-JL,What kind of design is on the phone case?,Feather
71pFyp1I-JL,Is this a hard or soft case?,Hard
81-I6qebY1L,What color is the mattress pad?,White
81-I6qebY1L,Does the pad appear quilted?,Yes
81klcCRNo+L,What color is the label in the center?,Purple
81klcCRNo+L,What is the product designed for?,Baby
81klcCRNo+L,What is the brand name?,Amazon
91mQnrWV2CL,What color is the backpack?,Black
91mQnrWV2CL,Is this a laptop backpack?,Yes
81HN2dVcZZL,What is the primary color of the fabric?,White
81HN2dVcZZL,What pattern is visible on the material?,Floral
71hy+WHyTrL,What animal is featured on the phone case?,Giraffe
71hy+WHyTrL,What is the dominant color in the background?,Orange
71hy+WHyTrL,Is the case designed for a Samsung phone?,Yes
A1RUY-g6U+L,What is the main color of the rug?,Charcoal
A1RUY-g6U+L,What shape is the rug?,Runner
A1RUY-g6U+L,What pattern does the rug have?,Medallion
81vSuf3i8ML,What are the prominent colors of the floor mat?,Red
81vSuf3i8ML,Is this mat suitable for commercial use?,Yes
71+h7+ev1OL,What is the primary color?,Pink
71+h7+ev1OL,Is this cover shiny?,Yes
71+h7+ev1OL,What phone is this cover for?,Vivo
71WJoxQmfpL,What is the primary color of the box?,White
71WJoxQmfpL,"According to the box, how many labels are on the roll?",220
71WJoxQmfpL,What brand is displayed on the box?,AmazonBasics
81VsfQKePwL,What is the primary color of the mount?,Black
81VsfQKePwL,Does the mount appear to be articulating?,Yes
71BfhQIiBLL,What kind of pattern is on the shoe?,Floral
71BfhQIiBLL,What is the primary color of the shoe?,Red
61Mjw24XNkL,What shape is the candy?,Heart
61Mjw24XNkL,What phone is this case for?,Samsung
8101CwzdO+L,What is the main pattern?,Dots
8101CwzdO+L,What color is the largest dot?,Green
8101CwzdO+L,How many sheet layers are visible?,Three
71LMOZgm3aL,What shape is hanging from the star?,Crescent
71LMOZgm3aL,What is the color of the necklace?,Silver
81qy4o5buFL,What color are these Dalia shoes?,Black
81qy4o5buFL,Are these shoes high or low?,Low
71ue7SHKZVL,What kind of object is depicted on the back of this phone case?,Cup
71ue7SHKZVL,What is the dominant color inside the cup?,Green
71ue7SHKZVL,Is this a hard or soft case?,Hard
71CO3+8aiIL,How many spoons are displayed?,Four
71CO3+8aiIL,What color are the utensils?,Silver
71CO3+8aiIL,Are there more forks or spoons?,Forks
61LqONnZTCL,What word is printed on the case?,Queen
61LqONnZTCL,What is the main color of the phone case?,Black
61LqONnZTCL,What shape is the camera lens?,Circle
7105-xgJleL,What color are these sneakers?,White
7105-xgJleL,Are these high-top or low-top shoes?,High-top
71xhSftcS+L,What celestial body is crescent-shaped?,Moon
71xhSftcS+L,What is the main color of the background?,Black
71xhSftcS+L,Is there a shooting star on the cover?,Yes
61xIQx0iKcL,What is the main design element?,Headphones
61xIQx0iKcL,What two colors are on the phone case?,Pink/Teal
81K0toEYCAL,What color is the lid?,Red
81K0toEYCAL,What kind of snack is this?,Muesli
81Qy22RUEUL,What is the pattern on the back?,Plaid
81Qy22RUEUL,Is the phone case hard or soft?,Hard
81f-Ln2GVaL,What color are the work gloves?,Black
81f-Ln2GVaL,How many gloves are visible?,Two
71L8pYRrZcL,What is the protector's surface like?,Non-glare
71L8pYRrZcL,What is the main use for these protectors?,Documents
811KZQdZSFL,What color are these Solefit slippers?,Black
811KZQdZSFL,Are these slippers open or closed toe?,Open
811KZQdZSFL,How many slippers are shown?,Two
71R8c5NdSuL,What color is the suitcase?,Blue
71R8c5NdSuL,How many wheels does the suitcase have?,Four
71R8c5NdSuL,Is the handle extended?,Yes
915QnhBsyYL,What is the main color of the floral pattern?,Blue
915QnhBsyYL,How many bowls are visible?,Two
915QnhBsyYL,What is the product type?,Kitchen
91jUeBRiD3L,What shape is repeated on the planter?,Triangle
91jUeBRiD3L,What is the primary material of this pot?,Ceramic
91jUeBRiD3L,What two colors are on the planter?,White/Terra-cotta
81+Gb-OCJxL,What is the design on the phone case?,Footprints
81+Gb-OCJxL,What is the case made to protect?,Phone
81+Gb-OCJxL,What is the background color of the case?,Blue
61y5gacK0nL,What color is on the left side of the case?,Red
61y5gacK0nL,How many camera lenses are visible?,Two
919BpwSoX+L,What shape is this Rivet ottoman?,Round
919BpwSoX+L,What is the main color of the pouf?,Marshmallow
919BpwSoX+L,Is this item designed for storage?,Yes
81Jvc74E1QL,What color is the urad dal?,White
81Jvc74E1QL,What is the brand printed on the package?,Vedaka
81Jvc74E1QL,Is the dal whole or split?,Split
815r7RyNxTL,What is the main color of the bridge?,Brown
815r7RyNxTL,Is the cover hard or soft?,Hard
815r7RyNxTL,What kind of scene is depicted on the case?,Nature
81DjdVYuy4L,What animal is featured?,Tiger
81DjdVYuy4L,Is this a hard case?,Yes
811E-X31QoL,What is the primary color of the case?,Blue
811E-X31QoL,What is the pattern on the phone case?,Drops
811E-X31QoL,Is this case designed for a Lenovo phone?,Yes
71mpJ8F2lvL,What shape is featured prominently on the case?,Heart
71mpJ8F2lvL,What is the main color of the phone case?,Red
71mpJ8F2lvL,Does the case have a floral design?,Yes
61rrIlgiIeL,What color is the phone cover?,Black
61rrIlgiIeL,Is this case designed for Poco X2?,Yes
71hs2E7pbGL,What is the main color of the stripes?,Pink
71hs2E7pbGL,What is the depicted subject's gender?,Female
81kAwDFOeNL,What is the main color of the phone case?,Blue
81kAwDFOeNL,Is the cover hard or soft?,Hard
716eECZcJbL,What is the primary color of the background?,Black
716eECZcJbL,What is depicted on the phone case?,Couple
716eECZcJbL,Is the case flexible?,Yes
61J-5ZUkl9L,What is the main color of the shoe?,Pink
61J-5ZUkl9L,Are these shoes for adults or children?,Children
71cz9ueulrL,What is the primary color of the necklace?,Gold
71cz9ueulrL,What shape is the pendant?,Circle
71cz9ueulrL,What kind of gem is featured?,Pearl
A141kOyqj3L,What color is the area rug?,Oatmeal
A141kOyqj3L,What is placed on the rug?,Chair
A141kOyqj3L,Is the rug striated?,Yes
71JMaEOCRgL,What shape are these fine earrings?,Oval
71JMaEOCRgL,What is the color of the earrings?,Gold
814WJICrXwL,How many doors does this pine wardrobe have?,Three
814WJICrXwL,What material are the handles made of?,Metal
711X-dKJqML,What animal is featured on this cover?,Panda
711X-dKJqML,How many pandas are fully visible?,One
711X-dKJqML,Is this a hard or soft case?,Hard
91ZqJcZkC8L,What color is the laptop bag?,Black
91ZqJcZkC8L,How many handles does the bag have?,Two
71kxwuc+c6L,What is the texture of the phone case?,Brick
71kxwuc+c6L,Is this a hard or soft case?,Hard
71kxwuc+c6L,What brand is this phone case?,Solimo
71XQ091ITTL,What phrase is written on the phone case?,Girlboss
71XQ091ITTL,What is the primary color of the phone case's design?,Gold
81T1bfeMU+L,What is the primary color of the brick pattern?,Black
81T1bfeMU+L,What is the case made to protect?,Phone
81T1bfeMU+L,Is the case design two-toned?,Yes
71q1oOywMYL,What animal is featured?,Kitten
71q1oOywMYL,What is the background color?,Brown
71q1oOywMYL,What is this product's purpose?,Protection
71vkcwF+BWL,What is the background color of the phone case?,Black
71vkcwF+BWL,What shape are the objects floating above the people?,Hearts
910hnc9azIL,What is the primary color of the pillow?,Yellow
910hnc9azIL,What shape is the displayed pillow?,Square
910hnc9azIL,Does the pillow have stripes?,Yes
61MmOWkK5LL,What kind of textile product is shown?,Sheet
61MmOWkK5LL,What are the main colors featured?,Gray
81yiaE45j+L,What is the primary color of the sofa?,Gray
81yiaE45j+L,How many seat cushions are visible?,Two
617+XjhynML,What animal is at the top of the phone case?,Bear
617+XjhynML,What color is the background of the phone case?,Yellow
417xX7ZFp1L,What is the color of the bedding?,Brown
417xX7ZFp1L,How many pillowcases are shown?,Two
417xX7ZFp1L,Are the towels stacked?,Yes
A1Cs7vCqURL,What is the primary color of the rug?,Brick
A1Cs7vCqURL,Is the rug rolled or flat?,Flat
A1Cs7vCqURL,What shape is the rug?,Rectangle
91eXsAC-itL,What color are these bed linens?,Red
91eXsAC-itL,Are these sheets folded?,Yes
719rMEtmmgL,What shape is the colored stone?,Oval
719rMEtmmgL,What is the primary metal color?,White
719rMEtmmgL,What occasion is this necklace suitable for?,Wedding
813D6iIglbL,What phone is this case for?,LG
813D6iIglbL,What kind of design does the case have?,Abstract
51rznaiaxQL,What color is the drawstring?,red
51rznaiaxQL,What is the capacity of each bag?,13
51rznaiaxQL,What is the primary color of the trash bag?,white
61LAx6j405L,What is the dominant color of the phone case?,Green
61LAx6j405L,What kind of pattern is featured on this case?,Love
61LAx6j405L,What is the depicted activity at the bottom of the case?,Cycling
81WhtsfCmHL,What is the flavor of this protein powder?,Vanilla
81WhtsfCmHL,What is the brand name shown?,Wholefoods
81WhtsfCmHL,What kind of protein is it?,Plant
81pZ-Ci7WHL,What is the primary color of the phone case?,Black
81pZ-Ci7WHL,Is this a hard or soft case?,Hard
81pZ-Ci7WHL,What is the design style of the case?,Patterns
71S4-AjEAfL,What pattern is on the hat?,Plaid
71S4-AjEAfL,How many gloves are there?,Two
71S4-AjEAfL,What color are the gloves?,Black
91INeN9rCTL,How many bibs are displayed?,Six
91INeN9rCTL,What animal is printed on the pink bib?,Unicorn
91INeN9rCTL,What color is the bib on the bottom left?,Pink
71ZnXY-g6CL,What is the primary color of the work gloves?,White
71ZnXY-g6CL,How many gloves are displayed?,Two
71S8D74mCeL,What color are these cosmetic cases?,Purple
71S8D74mCeL,How many cases are displayed?,Two
71S8D74mCeL,What is the shape of the cases?,Rectangular
31bbaEHrvoL,What color is the patio heater?,Bronze
31bbaEHrvoL,What is the purpose of the item on the right?,Protection
31bbaEHrvoL,How many items are displayed?,Two
71Q-J75vWIL,What is the main color of the flowers?,Pink
71Q-J75vWIL,Is this case designed for a male or female?,Female
71Q-J75vWIL,What type of object is this?,Case
71el0YfgKSL,What is the color of the cutlery?,Silver
71el0YfgKSL,How many forks are displayed?,Two
61ST0rbvWTL,What is the main color of the floral design?,Pink
61ST0rbvWTL,Is the phone case hard or soft?,Hard
61ST0rbvWTL,What phone model is this case designed for?,Samsung
81x6a9eGHvL,What is the color of the plates?,Red
81x6a9eGHvL,How many compartments does each plate have?,Three
81x6a9eGHvL,Are there multiple plates?,Yes
61P6ZIywrpL,What is the primary color of the phone case?,Pink
61P6ZIywrpL,What type of animal is featured on the case?,Cat
61P6ZIywrpL,What is the style of the phone case?,Cartoon
71QhqR8NcJL,What is the primary color of the feather design?,Blue
71QhqR8NcJL,Is the cover designed for a specific phone model?,Yes
71QhqR8NcJL,What type of bird is featured on the case?,Peacock
71oFF0+UhCL,What is the main color of the sneakers?,Red
71oFF0+UhCL,Are these high-tops or low-tops?,Low-tops
71oFF0+UhCL,What material is the upper made of?,Fabric
91r8Ee1KXkL,What material is the filament?,Thermoplastic
91r8Ee1KXkL,What is the color of the filament?,Beige
61WBS9BxKmL,What is the primary color of the earrings?,Gold
61WBS9BxKmL,How many stones are visible on the left earring?,Four
61WBS9BxKmL,What type of jewelry is shown?,Earrings
81OPLKkwEdL,What animal is featured on the phone cover?,Unicorn
81OPLKkwEdL,What is the main color of the background?,Black
81OPLKkwEdL,"Besides unicorns, what other design is on the phone cover?",Rainbow
71mDM5lGshL,What is the main color of the phone case?,Orange
71mDM5lGshL,Is the design on the back 2D or 3D?,3D
71mDM5lGshL,What phone model is this case designed for?,M21
81l+UPz-wZL,What color are the legs?,Black
81l+UPz-wZL,What is the primary color of the chair?,Merlot
81l+UPz-wZL,Does this chair have tufting?,Yes
71ircW1aeRL,What letter is printed on the back of the phone case?,V
71ircW1aeRL,What color are the top and bottom sections of the phone case?,Black
81zOtqJMocL,What animal is featured on the case?,Unicorn
81zOtqJMocL,What is the background color of the phone case?,Black
81zOtqJMocL,"Besides unicorns, what other shapes are visible?",Stars
71S9P-fW9eL,What type of chair is shown?,office
71S9P-fW9eL,What is the primary color of the chair?,black
717ClHd-ifL,What color is the cap?,Black
717ClHd-ifL,What is the net weight of the allspice?,2.5
61X7Vfr6VUL,What is the main color of the phone case?,Pink
61X7Vfr6VUL,What is the theme of the design?,Love
61X7Vfr6VUL,Is the case flexible or rigid?,Flexible
71nDk-t6WaL,What is the primary material of the phone case?,Polycarbonate
71nDk-t6WaL,What phone model is this case designed for?,Vivo
71nDk-t6WaL,What is the design style of the phone cover?,Canvas
71jIez-VB8L,What material are the orange blades designed to cut?,Metal
71jIez-VB8L,How many blades are included in the set?,Ten
71jIez-VB8L,What color is the pouch?,Black
71hVsBkh-9L,What is the main color of the design?,White
71hVsBkh-9L,Is this a hard or soft case?,Hard
71hVsBkh-9L,What phone is this case for?,Oppo
81i1ePTI96L,What is the primary color of the sectional?,Linen
81i1ePTI96L,How many seat cushions are there?,Four
81i1ePTI96L,Is this a right or left-facing chaise?,Right
61NmPKRIjUL,What kind of shoe is this?,Loafer
61NmPKRIjUL,What is the color of the shoe?,Black
71QfAR+3QxL,What is the main color of the phone case?,Yellow
71QfAR+3QxL,What footwear is printed on the phone case?,Shoes
611UJay9JEL,What is the main color of the case?,Multicolor
611UJay9JEL,Is the case designed for a specific phone model?,Yes
611UJay9JEL,What is the depicted person wearing around their neck?,Beads
81KHC4xlS0L,What is the primary color on the phone case?,Red
81KHC4xlS0L,Is the case design textured?,Yes
81KHC4xlS0L,What phone is this case for?,Nokia
81wgs0+T6nL,What is the main color present on the phone case?,Yellow
81wgs0+T6nL,Is the phone case design 3D?,Yes
71EhBR5W8fL,What is the closure type of the shoe?,Lace-up
71EhBR5W8fL,What color are the laces?,Navy
71AKi1mdqaL,What is the background color of the phone case?,Black
71AKi1mdqaL,What type of phone is this case designed for?,Huawei
71AKi1mdqaL,What is the design printed on the back of the case?,Formulas
71hlWZqOuQL,What shape is prominently featured on the phone case?,Heart
71hlWZqOuQL,"Besides red, what other color is visible in the heart design?",Gold
71hlWZqOuQL,Is the case designed for a Samsung phone?,No
81nwhkLlTqL,What is the frame color?,Wood-tone
81nwhkLlTqL,What type of leaf is depicted?,Palm
81nwhkLlTqL,What is the artwork's orientation?,Horizontal
81nh4nPkPKL,How many shelves are in the set?,Four
81nh4nPkPKL,What is the color of the shelves?,Walnut
81nh4nPkPKL,Are the shelves the same length?,No
81OLXBGIyeL,How many different spice types are displayed?,Three
81OLXBGIyeL,What is the color of the seeds in the middle package?,Black
71SfBMfbwhL,What is the primary flower featured?,Rose
71SfBMfbwhL,What is the case's main color?,Red
71SfBMfbwhL,Is this a hard or soft case?,Soft
61Hsw+HnInL,What is the main color of the phone case?,Black
61Hsw+HnInL,What is the style printed on the back?,Quotes
71b7zpICPYL,What is the texture of the phone cover?,Hexagon
71b7zpICPYL,What is the design style of this phone cover?,3D
61ZptbnKEBL,How many replacement blades are in the image?,Two
61ZptbnKEBL,What word is printed on the plastic casing?,Cutting
71UXWbVSTqL,What letter is displayed?,Y
71UXWbVSTqL,What is the dominant color of the background?,Black
610bYFJ-TWL,What is the primary color?,Beige
610bYFJ-TWL,Is this a close-up shot?,Yes
61JsKLzWvKL,What is the bulb's color?,White
61JsKLzWvKL,What brand is this lightbulb?,AmazonBasics
61JsKLzWvKL,What kind of bulb is shown?,LED
71SmMzF2hFL,What celestial body is visible in the case's design?,Moon
71SmMzF2hFL,What kind of tree is depicted on the phone case?,None
71SmMzF2hFL,What is the main color featured on the phone case?,Blue
81t5K135t9L,What color is the speaker?,Black
81t5K135t9L,Is this speaker waterproof?,No
71oQkPJMaEL,What color is the camera case?,Beige
71oQkPJMaEL,How many zippers are visible?,Two
81-Hz-Ofm4L,What kind of roast is this coffee?,Italian
81-Hz-Ofm4L,What is the brand name?,HappyBelly
418eXzxGlSL,How many pull chains are visible?,Two
418eXzxGlSL,What shape is the lampshade?,Dome
418eXzxGlSL,What is the primary color of the lamp?,Tan
31sIy54trGL,What is the spatula made of?,Steel
31sIy54trGL,How many slots are visible on the spatula?,Five
716eWmiW-eL,What shape is the Rivet coffee table?,Rectangular
716eWmiW-eL,What color is the magazine sling?,Brown
716eWmiW-eL,How many shelves does this coffee table have?,Two
61Y7qkbBzQL,What is the main design element?,Headphones
61Y7qkbBzQL,What two colors are on the case?,Pink/Green
81d57vjkX8L,What is the flavor of the refill?,Jasmine
81d57vjkX8L,What color is the top of the refill?,Green
81OrVti5NUL,How many grooming tools are displayed?,Seven
81OrVti5NUL,What color is the handle of the brush?,Black
81OrVti5NUL,Is there a pair of scissors present?,Yes
81zir+3YHUS,What is the primary material of the bed skirt?,Cotton
81zir+3YHUS,What is the main color of the lower band?,Bourdeaux
81zir+3YHUS,What part of the bed does this skirt cover?,Bottom
8152J306A-L,What word is written on the phone case?,Love
8152J306A-L,Is the phone case hard or soft?,Hard
71NTtJ6PLIL,What is the main stone's shape?,Round
71NTtJ6PLIL,What type of jewelry is displayed?,Ring
71NTtJ6PLIL,What is the band's color?,Silver
71eSYbzsgYL,What phrase is written on the phone case?,Girlboss
71eSYbzsgYL,What is the background texture of the case?,Wood
61PlKVNhXJL,What is the color of the hardware handle?,Silver
61PlKVNhXJL,How many screws are visible?,Two
71r0+r8+AmL,What is the primary material of the boot?,Leather
71r0+r8+AmL,What is the boot's color?,Wine
71r0+r8+AmL,Is the boot quilted?,Yes
81Px76PE6WL,What is the main color of the phone case?,Orange
81Px76PE6WL,Is this case designed for a Samsung phone?,Yes
716YFDxmWIL,What shape is made of colorful dots?,Heart
716YFDxmWIL,What is the main color of the case?,Blue
71Fvrsjt6ZL,What is the predominant color in the cover's design?,Orange
71Fvrsjt6ZL,Is the phone case flexible or rigid?,Rigid
71Fvrsjt6ZL,What phone is this case designed for?,LG
71WwCu3WtUL,How many bowls are stacked?,Six
71WwCu3WtUL,What color are the dessert bowls?,White
719lnK8HDoL,How many rectangular mats are there?,Six
719lnK8HDoL,Are the mats waterproof?,Yes
719lnK8HDoL,What is on the plate?,Food
61OLjqjUNtL,What is the primary color of the phone case?,Black
61OLjqjUNtL,Is there a quote on the phone case?,Yes
61OLjqjUNtL,What is the case designed to fit?,Phone
81+dOAk-4dL,What animal is featured on the phone case?,Lion
81+dOAk-4dL,Is this a hard or soft case?,Hard
71Z5NreFqYL,What phrase is written on the case?,Daddy's Girl
71Z5NreFqYL,What type of phone is this case for?,Samsung
71Z5NreFqYL,Is the phone case design glittery?,Yes
71je711iwTL,What color is the squash?,Orange
71je711iwTL,Is the squash whole or cut?,Cut
71je711iwTL,What is the brand of the squash?,Fresh
71+bPKLuvwL,What shape is the storage box?,Cube
71+bPKLuvwL,What color is the lid?,Beige
71wX6dYaFrL,What is the heel type?,Wedge
71wX6dYaFrL,What color are these dress sandals?,Blue
71lgeX6J1lL,What animal is featured on the phone case?,Owl
71lgeX6J1lL,What is the background pattern?,Chevron
71lgeX6J1lL,What is the primary color of the owl?,Blue
71g9gdKO1ML,How many blades does each razor refill have?,Three
71g9gdKO1ML,What is the brand name on the box?,Solimo
71g9gdKO1ML,How many refills are included?,Twelve
71mpnqZch+L,What is the primary flower shown?,Rose
71mpnqZch+L,What phone brand is this case designed for?,Vivo
71mpnqZch+L,What is the main color of the flowers?,Red
51HrQYxRqBL,What are the colors of the bottle caps?,Silver/Gold
51HrQYxRqBL,How many bottles are shown?,Two
51HrQYxRqBL,Which bottle is the shampoo?,Right
71LU5PolZZL,What is the main mode of transportation depicted?,Bus
71LU5PolZZL,What type of case is this?,Hard
71LU5PolZZL,Is the bus on the cover a real vehicle?,No
41EPWGV+z8L,What is the color of the shredder?,Black
41EPWGV+z8L,How many packs of lubricant sheets are included?,One
41EPWGV+z8L,What office task does the device on the left perform?,Shredding
71-3ES575bL,What is the prominent color of the leaf on the case?,Yellow
71-3ES575bL,Is this a hard or soft case?,Hard
71-3ES575bL,What object is printed on the back?,Leaf
81atTUM1DtL,What colors are displayed on the back cover?,Multicolor
81atTUM1DtL,What type of phone is this cover designed for?,Vivo
71hW3w+-zqL,What vitamins are listed on the container?,"A,C,E"
71hW3w+-zqL,What is the color of the label?,Orange
91S3h54P4fL,What shape are the stones?,Princess
91S3h54P4fL,What is the plating color?,Gold
91S3h54P4fL,How many earrings are shown?,Two
61kVdTXTJ4L,What is the primary color of the sofa?,Gray
61kVdTXTJ4L,Is this a sectional sofa?,No
71a59q3RT1L,What flavor is advertised on the container?,cumin
71a59q3RT1L,What color is the lid?,black
71a59q3RT1L,What is the brand name?,HappyBelly
61QpWXge9WL,How many bulbs are in the picture?,Ten
61QpWXge9WL,What color is the light these bulbs produce?,Daylight
61QpWXge9WL,What type of base do these bulbs have?,GU10
71jZ6o4COgL,What shape is the primary design?,Heart
71jZ6o4COgL,What is the predominant color of the inner heart?,Red
71Ff5BAMR3L,What animal is featured on this phone case?,Panda
71Ff5BAMR3L,What is the main color of the pandas?,Black
71Ff5BAMR3L,Is the case flexible?,Yes
81uxEjklUgL,What is the primary color of the pillow sham?,White
81uxEjklUgL,What kind of pattern is on the pillow?,Diamond
7101CfKCEaL,What type of footwear is displayed?,Boot
7101CfKCEaL,What is the visible sole color?,Tan
81nYWmO6ilL,What is the main material pictured on the phone case?,Wood
81nYWmO6ilL,What brand is this phone cover?,Solimo
71YqeakooUL,What object is in the image?,Case
71YqeakooUL,What is the shape of the design?,Circles
B1UkQ5z8qMS,What is the main color of the runner?,Blue
B1UkQ5z8qMS,What shape is repeated in the runner's pattern?,Oval
B1UkQ5z8qMS,How many legs does the bench have?,Four
61IleUQzVqL,What word is displayed on the phone case?,King
61IleUQzVqL,What color is the text on the case?,Gold
811e8nUYxZL,What is the main material of the boot?,Leather
